Metric,Original,Adjusted
precision_macro,0.021505376344086023,0.8924731182795699
recall_macro,0.006066734074823053,0.9175824175824177
f1_score_macro,0.00946372239747634,0.8948488565038597
jaccard_macro,0.004966887417218542,0.8100555358619874
precision_micro,0.034266133637921185,0.8970840480274442
recall_micro,0.034266133637921185,0.8970840480274442
f1_score_micro,0.034266133637921185,0.8970840480274442
jaccard_micro,0.017431725740848343,0.8133748055987559
precision_weighted,0.12146668877384965,0.9192165108172411
recall_weighted,0.034266133637921185,0.8970840480274442
f1_score_weighted,0.05345300657398116,0.8986618302793863
jaccard_weighted,0.02805397861581461,0.8163005588446854
accuracy,0.034266133637921185,0.8970840480274442
silhouette,0.474382710347203,0.7746616336116324
