eva_row,TP,FP,TN,FN
0,0,762,298,691
1,0,762,445,544
2,0,762,298,691
3,0,762,449,540
4,0,762,298,691
5,0,762,250,739
6,0,762,250,739
7,0,762,250,739
8,0,762,634,355
9,0,762,250,739
10,66,696,39,950
11,0,762,989,0
12,0,762,989,0
13,0,762,792,197
14,539,223,53,936
15,386,376,317,672
16,386,376,317,672
17,384,378,343,646
18,384,378,343,646
19,384,378,343,646
20,384,378,343,646
21,384,378,354,635
22,384,378,364,625
23,384,378,364,625
24,384,378,366,623
25,384,378,366,623
26,384,378,366,623
27,384,378,366,623
28,384,378,366,623
29,384,378,366,623
30,384,378,366,623
31,384,378,366,623
32,384,378,366,623
33,41,721,85,904
34,41,721,186,803
35,4,758,961,28
36,274,488,989,0
37,0,762,974,15
38,0,762,250,739
39,0,762,250,739
40,0,762,250,739
